judge,A,B,choseA,choseB
13,31196841,98196415,1,0
19,31196843,62199616,1,0
19,31196843,35196856,0,1
7,31196843,34196813,1,0
20,31196843,100196412,0,1
9,31196843,28196852,0,1
9,31196843,62199611,1,0
11,31196843,752012112,1,0
10,31196843,34196814,1,0
10,31196843,61199653,0,1
1,31196845,67199617,1,0
20,31196845,32196852,0,1
9,31196845,752012117,1,0
11,31196845,951964410,1,0
2,31196845,83201247,0,1
2,31196845,64199612,1,0
15,31196846,72201253,1,0
13,31196846,66199619,0,1
2,31196846,77201215,1,0
2,31196846,35196854,0,1
3,31196847,92196447,1,0
20,31196847,93196445,1,0
5,31196847,94196445,1,0
5,31196847,25196813,0,1
5,31196847,66199613,1,0
19,31196848,85196458,1,0
3,31196848,601996510,1,0
8,31196848,671996112,1,0
7,31196848,70201253,1,0
5,31196848,72201255,1,0
13,31196848,31196841,0,1
13,31196848,78201213,1,0
2,31196848,21196812,1,0
14,31196848,102196419,0,1
19,31196849,29196857,0,1
7,31196849,22196843,0,1
5,31196849,611996511,1,0
11,31196849,35196857,0,1
14,31196849,90196451,0,1
3,32196851,88196456,1,0
4,32196851,99196411,0,1
4,32196851,31196846,1,0
17,32196851,83201244,0,1
20,32196851,581996511,0,1
20,32196851,88196453,1,0
15,32196851,62199613,1,0
9,32196851,28196855,1,0
11,32196851,74201216,1,0
16,32196852,82201247,1,0
12,32196852,79201244,1,0
8,32196852,91196449,0,1
4,32196852,581996510,0,1
4,32196852,69201258,1,0
17,32196852,23196856,1,0
20,32196852,65199617,1,0
9,32196852,78201214,1,0
14,32196852,58199652,0,1
18,32196853,29196859,0,1
1,32196853,80201246,1,0
19,32196853,79201243,0,1
3,32196853,103201258,1,0
6,32196853,98196416,0,1
17,32196853,93196447,0,1
20,32196853,79201245,1,0
15,32196853,32196857,0,1
9,32196853,58199651,1,0
18,32196855,92196444,0,1
1,32196855,631996112,0,1
1,32196855,59199656,0,1
8,32196855,71201251,1,0
4,32196855,24196816,0,1
4,32196855,30196815,1,0
15,32196855,90196459,0,1
15,32196855,591996510,1,0
10,32196855,76201215,1,0
10,32196855,671996112,0,1
1,32196857,73201217,1,0
6,32196857,601996511,1,0
4,32196857,95196446,1,0
17,32196857,20196848,0,1
17,32196857,64199617,1,0
15,32196857,63199613,1,0
13,32196857,83201246,1,0
11,32196857,85196459,1,0
11,32196857,101196414,1,0
14,32196857,58199656,1,0
8,32196858,85196456,1,0
4,32196858,991964110,1,0
5,32196858,32196852,1,0
15,32196858,62199618,1,0
13,32196858,20196849,1,0
9,32196858,83201241,1,0
11,32196858,25196817,1,0
11,32196858,33196851,1,0
11,32196858,60199657,1,0
14,32196858,57199656,1,0
10,32196858,89196456,1,0
18,32196859,752012114,1,0
12,32196859,60199651,1,0
12,32196859,92196444,0,1
6,32196859,62199617,1,0
6,32196859,91196442,0,1
8,32196859,58199657,1,0
8,32196859,33196859,0,1
5,32196859,561996510,1,0
13,32196859,78201217,1,0
16,33196851,77201212,1,0
8,33196851,74201215,1,0
4,33196851,71201253,1,0
17,33196851,74201218,1,0
17,33196851,671996112,0,1
20,33196851,68201253,0,1
11,33196851,74201217,1,0
14,33196851,651996113,0,1
18,33196853,66199614,1,0
1,33196853,20196849,0,1
1,33196853,89196456,1,0
3,33196853,64199614,0,1
14,33196853,24196817,0,1
1,33196854,91196444,0,1
3,33196854,27196814,1,0
6,33196854,83201241,1,0
4,33196854,561996512,1,0
17,33196854,581996510,0,1
20,33196854,66199612,1,0
19,33196856,31196847,0,1
19,33196856,82201245,1,0
3,33196856,85196451,1,0
8,33196856,87196456,1,0
17,33196856,591996512,1,0
14,33196856,63199619,1,0
18,33196857,68201254,1,0
18,33196857,58199655,0,1
1,33196857,641996110,1,0
19,33196857,57199651,1,0
6,33196857,72201257,1,0
6,33196857,101196411,1,0
7,33196857,611996510,1,0
7,33196857,84201248,1,0
2,33196857,65199617,1,0
16,33196858,103201257,1,0
18,33196858,24196818,1,0
19,33196858,611996511,0,1
8,33196858,73201211,1,0
7,33196858,34196819,1,0
7,33196858,27196816,0,1
15,33196858,78201212,1,0
13,33196858,61199655,0,1
13,33196858,63199613,0,1
14,33196858,60199659,0,1
14,33196858,67199611,1,0
16,33196859,65199612,1,0
18,33196859,671996111,1,0
18,33196859,671996111,1,0
18,33196859,36196843,0,1
18,33196859,67199617,1,0
12,33196859,60199653,1,0
3,33196859,66199618,1,0
3,33196859,85196452,0,1
3,33196859,57199658,1,0
8,33196859,571996513,1,0
8,33196859,84201245,1,0
8,33196859,81201244,0,1
4,33196859,76201211,0,1
4,33196859,78201211,0,1
20,33196859,95196448,0,1
20,33196859,68201252,1,0
15,33196859,37196846,1,0
15,33196859,85196459,0,1
13,33196859,661996110,0,1
13,33196859,61199652,1,0
11,33196859,84201248,1,0
1,34196811,62199611,1,0
3,34196811,66199616,1,0
6,34196811,29196859,0,1
8,34196811,58199653,1,0
17,34196811,56199652,1,0
5,34196811,103201253,1,0
5,34196811,94196442,0,1
5,34196811,80201246,1,0
13,34196811,87196455,0,1
9,34196811,36196841,0,1
2,34196811,37196844,0,1
14,34196811,92196445,1,0
19,34196813,72201255,0,1
19,34196813,61199656,0,1
6,34196813,93196445,0,1
4,34196813,89196454,0,1
13,34196813,35196858,0,1
9,34196813,103201256,0,1
9,34196813,57199654,1,0
9,34196813,71201251,0,1
2,34196813,69201251,0,1
10,34196813,73201214,0,1
19,34196814,63199611,0,1
19,34196814,82201248,1,0
12,34196814,74201212,1,0
12,34196814,83201247,0,1
3,34196814,57199652,0,1
7,34196814,611996511,1,0
7,34196814,56199655,1,0
7,34196814,661996112,0,1
5,34196814,96196444,0,1
15,34196814,73201213,1,0
15,34196814,88196453,0,1
9,34196814,32196853,0,1
9,34196814,99196411,1,0
11,34196814,37196846,0,1
2,34196814,631996111,0,1
14,34196814,35196859,0,1
10,34196814,92196442,0,1
19,34196816,29196856,0,1
19,34196816,21196813,1,0
3,34196816,611996512,0,1
8,34196816,33196851,0,1
8,34196816,37196845,1,0
5,34196816,26196847,1,0
15,34196816,70201252,1,0
9,34196816,30196816,1,0
16,34196817,99196413,0,1
1,34196817,91196443,0,1
4,34196817,35196853,0,1
15,34196817,101196413,0,1
13,34196817,70201255,0,1
11,34196817,77201217,1,0
14,34196817,69201256,1,0
14,34196817,82201247,0,1
1,34196818,83201245,1,0
19,34196818,601996513,1,0
4,34196818,72201258,1,0
4,34196818,95196444,0,1
7,34196818,92196449,1,0
7,34196818,78201212,1,0
7,34196818,85196451,0,1
7,34196818,80201241,1,0
17,34196818,97196419,1,0
17,34196818,99196415,1,0
15,34196818,591996511,1,0
10,34196818,26196849,1,0
10,34196818,103201257,0,1
4,34196819,86196454,0,1
4,34196819,58199658,1,0
7,34196819,31196843,0,1
17,34196819,82201245,1,0
17,34196819,971964111,0,1
9,34196819,60199656,0,1
15,35196851,621996111,1,0
15,35196851,25196812,0,1
13,35196851,82201244,1,0
16,35196853,70201251,1,0
19,35196853,571996510,1,0
19,35196853,75201211,0,1
19,35196853,60199651,1,0
19,35196853,86196452,1,0
12,35196853,58199659,1,0
6,35196853,91196449,0,1
7,35196853,24196813,1,0
17,35196853,611996510,1,0
20,35196853,91196449,0,1
20,35196853,76201213,1,0
5,35196853,82201242,1,0
15,35196853,36196841,0,1
13,35196853,58199654,1,0
14,35196853,62199616,1,0
14,35196853,25196818,0,1
16,35196854,101196414,1,0
3,35196854,74201212,1,0
4,35196854,36196846,1,0
7,35196854,641996112,1,0
17,35196854,77201215,1,0
17,35196854,651996111,1,0
9,35196854,61199658,1,0
9,35196854,101196417,1,0
2,35196854,68201255,1,0
2,35196854,20196849,1,0
16,35196856,69201256,1,0
19,35196856,21196818,1,0
19,35196856,70201257,1,0
6,35196856,62199618,1,0
8,35196856,63199612,1,0
8,35196856,67199619,0,1
4,35196856,891964511,1,0
2,35196856,85196453,0,1
2,35196856,23196856,0,1
10,35196856,581996510,1,0
18,35196857,80201247,1,0
19,35196857,87196455,0,1
12,35196857,77201212,1,0
4,35196857,20196843,1,0
7,35196857,28196854,1,0
14,35196857,71201256,1,0
17,35196858,84201241,1,0
13,35196858,92196442,1,0
10,35196858,82201241,1,0
6,35196859,103201252,0,1
6,35196859,81201247,1,0
7,35196859,60199658,0,1
13,35196859,61199654,0,1
13,35196859,84201243,1,0
